url,collection_number,title,creator,date_range,extent,language_of_materials,repository,sponsor,abstract,physical_description,total_elements,total_items,total_digitised_items,total_searchable
http://nla.gov.au/nla.obj-743112359/findingaid,M1180,Album of Richard Jones (as filmed by the AJCP),"Jones, Richard",1840,2 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,2,2,2,3
http://nla.gov.au/nla.obj-743234360/findingaid,M833,Album of Sir John Murray (as filmed by the AJCP),"Murray, John, Sir",1914,1 item,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-742917582/findingaid,M2539,Albums and scrapbooks of Lady Ethel Stonehaven (as filmed by the AJCP),"Stonehaven, Ethel, Lady","1889-1898, 1923-1941",8 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,11,8,8,19
http://nla.gov.au/nla.obj-760982449/findingaid,M2727,Albums of photographs of Ronald Wood Paine (as filmed by the AJCP),"Wood Paine, Ronald",1924 - 1951,3 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,4,3,3,5
http://nla.gov.au/nla.obj-517555682/findingaid,MS 9138,Animals observed or collected by Joseph Banks esqr. & Doctor Solander in the voyage round the world begun August 25th 1768 ended July 12th 1771,,c. 1771,0.03 metres (1 volume),English,NLA,,,,2,2,2,1
http://nla.gov.au/nla.obj-2969473661/findingaid,ASWC,Anne Summers Women's Collection,,1931 - 2017,796 items,English,Printed Collections,,,,795,795,0,1
http://nla.gov.au/nla.obj-3117375086/findingaid,"EPH GEN.Assange, Julian","Assange, Julian : ephemera material collected by the National Library of Australia",,2010 - 24 November 2021,1 collection,English,Printed Collections,,,"Newspaper pages, postal bag, t-shirt, stickers, cards",15,13,0,16
http://nla.gov.au/nla.obj-3133860394/findingaid,Ephemera Formed Collection 59 .(Australia Day),Australia Day : ephemera material collected by the National Library of Australia,,1915,1 collection,English,Printed Collections,,,1 collection,3,2,0,1
http://nla.gov.au/nla.obj-3117369478/findingaid,EPH PROMPT.Australian Ballet,Australian Ballet : programs and related material collected by the National Library of Australia,,29 April 2022 - 11 June 2022,1 collection,English,Printed Collections,,,Booklets,3,2,0,4
http://nla.gov.au/nla.obj-3117637044/findingaid,EPH PROMPT.Australian Chamber Orchestra,Australian Chamber Orchestra : programs and related material collected by the National Library of Australia,,2022,1 collection,English,Printed Collections,,,1 collection.,4,3,0,5
http://nla.gov.au/nla.obj-3116543145/findingaid,EPH GEN.Australian Council for the Arts,Australian Council for the Arts : ephemera material collected by the National Library of Australia,,18 January 1973 - 9 March 2022,1 collection,English,Printed Collections,,,"Pamphlets, card, brochures, letter.",10,8,0,11
http://nla.gov.au/nla.obj-278641314/findingaid,MS 270,Australian Currency Collection,,1830-1900,0.03 metres (1 folder),English,NLA,The digitisation of the Library’s Currency Collection was made possible by the generous financial support of donors to the Banknotes and Currency Preservation Appeal (2015). The Library gratefully acknowledges this support.,,,10,10,10,1
http://nla.gov.au/nla.obj-3123342146/findingaid,EPH FC 73,"Australian Marriage Law Postal Survey, 2017 : ephemera material collected by the National Library of Australia",,2017 - 2018,1 collection,English,Printed Collections,,,"Badges, brochures, handbills, stickers, t-shirts, small objects like an ""Acceptance Ring"" issued by Airbnb, cloth bags, a beach towel, wrist bands and other printed campaign material, wedding cards.",15,14,0,16
http://nla.gov.au/nla.obj-3116615860/findingaid,EPH PROG/INV.Australian Music Foundation,Australian Music Foundation : programs and invitations ephemera material collected by the National Library of Australia,,16 October 2001 - 10 March 2020,1 collection,English,Printed Collections,,,,11,9,0,12
http://nla.gov.au/nla.obj-3117372624/findingaid,EPH GEN.Australian Mutual Provident Society,Australian Mutual Provident Society : ephemera material collected by the National Library of Australia,,1950,1 collection,English,Printed Collections,,,Pamphlets. Various emphemera items.,4,3,0,5
http://nla.gov.au/nla.obj-3128331585/findingaid,EPH FC 87,Australian ephemera collected by Michael and Jamie Kassler for the National Library of Australia,,1978 - 2007,32 items,English,Printed Collections,,,,33,32,0,1
http://nla.gov.au/nla.obj-3084079736/findingaid,MUS Aust theory,Australian theory of music collection,,1920 - 1970,187 items (187 scores and volumes),English,Printed Collections,,,,186,186,0,186
http://nla.gov.au/nla.obj-424200611/findingaid,MS Acc11.180,Australians for Constitiutional Monarchy: Bruce Ruxtons's consititutional debated files,Australians for Constitutional Monarchy,c.1991-2002,5.25 metres (35 ms boxes),English,National Library of Australia,,,,36,35,0,1
http://nla.gov.au/nla.obj-838073982/findingaid,M1862,Autobiography of James Dannock (as filmed by the AJCP),"Dannock, James",1898,1 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1,1,1,2
http://nla.gov.au/nla.obj-1127119132/findingaid,M2503,Autobiography of James Francis Plunkett (as filmed by the AJCP),"Plunkett, James Francis",1874 - 1926,6 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,6,6,6,7
http://nla.gov.au/nla.obj-3117640645/findingaid,EPH GEN.Aviation,Aviation : ephemera material collected by the National Library of Australia,,n.d.,1 collection,English,Printed Collections,,,,4,3,0,5
http://nla.gov.au/nla.obj-3142624777/findingaid,EPH PROG/INV.Bali Memorial Service,Bali Memorial Service : programs and invitations ephemera material collected by the National Library of Australia,,12 October 2003 - 12 October 2022,1 collection,English,Printed Collections,,,"Booklets, a flyer and A4 pages.",7,5,0,8
http://nla.gov.au/nla.obj-3021476017/findingaid,Rambert,"Ballet Rambert's Tour of Australia and New Zealand: programs, ephemera",,1947 - 1949,37 items,English,Printed Collections,,,,47,38,0,48
http://nla.gov.au/nla.obj-3123312268/findingaid,EPH PROMPT.Bangarra Dance Theatre,Bangarra Dance Theatre : programs and related material collected by the National Library of Australia,,Various dates,1 collection,English,Printed Collections,,,Programs and related material,4,2,0,5
http://nla.gov.au/nla.obj-290206591/findingaid,MS 5013,"Banknotes, mainly First World War",,1874; 1914-1918,.03 metres (1 folder),English,NLA,The digitisation of the Library’s Currency Collection was made possible by the generous financial support of donors to the Banknotes and Currency Preservation Appeal (2015). The Library gratefully acknowledges this support.,,,15,15,15,1
http://nla.gov.au/nla.obj-3118595483/findingaid,"EPH GEO/TRAVEL.Bathurst, New South Wales","Bathurst, New South Wales : geographic ephemera collected by the National Library of Australia",,11 April 1981,1 collection,English,Printed Collections,,,Folders of miscellaneous pieces.,3,2,0,4
http://nla.gov.au/nla.obj-3122995349/findingaid,"EPH GEO/TRAVEL.Bendigo, Victoria","Bendigo, Victoria : geographic ephemera collected by the National Library of Australia",,Undated,1 collection,English,Printed Collections,,,,5,4,0,1
http://nla.gov.au/nla.obj-743621047/findingaid,CUST,Board of Customs (as filmed by the AJCP),,1813 - 1868,576 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contributions of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,643,589,589,647
http://nla.gov.au/nla.obj-3142486439/findingaid,EPH GEN.Books,Books : ephemera material collected by the National Library of Australia,,Mixed dates,1 collection,English,Printed Collections,,,"Pamphlets, posters, brochures",4,3,0,5
http://nla.gov.au/nla.obj-3141228705/findingaid,"EPH PROMPT.Bovell, Andrew (playwright)","Bovell, Andrew (playwright) : programs and related material collected by the National Library of Australia",,22 February 2002 - 26 February 2022,1 collection,English,Printed Collections,,,Program and advertising flyer.,4,3,0,1
http://nla.gov.au/nla.obj-3084080071/findingaid,MUS Brady,Brady piano music collection,,1800 - 1950,1493 items (1493 scores),English,Printed Collections,,,,1493,1487,0,1493
http://nla.gov.au/nla.obj-838066831/findingaid,M2500,British Museum (Natural History Library): Collections held by the Mollusca Section (as filmed by the AJCP),British Museum (Natural History),1869 - 1977,13 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,19,13,13,23
http://nla.gov.au/nla.obj-838057332/findingaid,M2878-M2887,British Museum (Natural History Library): Papers of the Department of Palaeontology Archive (as filmed by the AJCP),British Museum (Natural History). Department of Palaeontology Archive,8 May 1838 - 15 August 1986,176 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,691,519,519,700
http://nla.gov.au/nla.obj-838075359/findingaid,M2702-M2707,British Museum (Natural History Library): Records of the Mineralogy Department and Mineralogy Library Archive (as filmed by the AJCP),British Museum (Natural History),1815 - 1983,372 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,530,404,404,531
http://nla.gov.au/nla.obj-1126188953/findingaid,M2523 - M2526,British Museum (Natural History): Case and Policy Files (as filmed by the AJCP),British Museum (Natural History),1919 - 1972,60 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,115,94,94,116
http://nla.gov.au/nla.obj-1126190271/findingaid,M2903 - M2909,British Museum (Natural History): Collections of the Bryozoa Section (as filmed by the AJCP),British Museum (Natural History). Bryozoa Section,23 March 1863 - 27 January 1988,73 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,216,154,154,217
http://nla.gov.au/nla.obj-838067262/findingaid,M2767,British Museum (Natural History): Collections of the Palaeontology Library (as filmed by the AJCP),British Museum (Natural History). Palaeontology Library,14 October 1830 - 23 March 1965,76 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,141,84,84,143
http://nla.gov.au/nla.obj-1126188065/findingaid,M2708,British Museum (Natural History): Correspondence of the Arachnida Section (as filmed by the AJCP),British Museum (Natural History),9 December 1891 - 8 May 1940,25 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,145,117,117,146
http://nla.gov.au/nla.obj-836340706/findingaid,M2426 - M2435,British and Foreign Anti-Slavery and Aborigines' Protection Society (as filmed by the AJCP),Aborigines Protection Society,2 May 1837 - 1895,66 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,491,463,463,493
http://nla.gov.au/nla.obj-752404465/findingaid,M1909-M1911,Bunbury Family Papers (as filmed by the AJCP),Bunbury Family,1824 - 1872,12 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,12,12,12,13
http://nla.gov.au/nla.obj-3116522211/findingaid,EPH GEN.Business,Business : ephemera material collected by the National Library of Australia,,Undated,1 collection,English,Printed Collections,,,"Pamphlets, flyers",6,5,0,7
http://nla.gov.au/nla.obj-517562649/findingaid,MS 6,Captain James Cook letterbook,"Cook, James, Captain, 1728-1779",1771 - 1778,0.66 metres (1 volume + 1 folder + 1 phase box),English,NLA,,,,2,2,2,1
http://nla.gov.au/nla.obj-3136798777/findingaid,Ephemera (General),Catholic Church : ephemera material collected by the National Library of Australia,,various dates,1 collection,English,Printed Collections,,,,3,2,0,1
http://nla.gov.au/nla.obj-771774894/findingaid,M406,Charts of the Hydrographic Department (as filmed by the AJCP),The Hydrographic Department,1769 - 1824,131 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,131,131,131,131
http://nla.gov.au/nla.obj-3117290165/findingaid,EPH GEN.Child health,Child health : ephemera material collected by the National Library of Australia,,Undated.,1 collection,English,Printed Collections,,,,3,2,0,1
http://nla.gov.au/nla.obj-3138895360/findingaid,"Ephemera (Programs and invitations) .Christmas cards - Governors, Premiers & Mayors","Christmas cards - Governors, Premiers, Mayors : programs and invitations ephemera material collected by the National Library of Australia",,1922 - 2019,1 collection,English,Printed Collections,,,1 box of miscellaneous pieces.,16,14,0,1
http://nla.gov.au/nla.obj-3116512445/findingaid,EPH PROMPT.City of Perth Concert Artists,City of Perth Concert Artists : programs and related material collected by the National Library of Australia,,16 October 2020 - 24 October 2020,1 collection,English,Printed Collections,,,"Programs, miscellaneous pieces.",3,2,0,4
http://nla.gov.au/nla.obj-156072646/findingaid,MS 1097,Clifford collection of manuscripts relating to Roman Catholicism,,ca. 1250-1915,3.6 metres (72 volumes + 1 archives box),"EnglishThe language of items 1-9 and 65 is Latin. Later items are mostly in English, with some in German and French also.",Special Collections (Manuscripts),The digitisation of the Library's holdings of medieval manuscripts was made possible by the generous financial support of donors to the Medieval Manuscripts Appeal (2014). The Library gratefully acknowledges this support.,,,76,76,10,1
http://nla.gov.au/nla.obj-3146108154/findingaid,AQEC,Collection of Australian and Queensland Electoral Commission publications,,1926 - 2013,69 items,English,Printed Collections,,,,69,69,0,69
http://nla.gov.au/nla.obj-255809459/findingaid,MS Acc11.175,Collection of J. C. Williamson production records and ephemera,J. C. Williamson Ltd,1923-1964,1.8 metres (12 ms boxes),English,National Library of Australia,,,,686,579,0,1
http://nla.gov.au/nla.obj-3135087706/findingaid,ACMA,Collection of books and reports received from the Australian Communications and Media Authority,,1983 - 2005,86 items (86 items),English,Printed Collections,,,,86,86,0,25
http://nla.gov.au/nla.obj-3135214110/findingaid,NCA,Collection of books and reports received from the National Capital Authority,,1960 - 2002,351 items (351 items),English,Printed Collections,,,,351,351,0,351
http://nla.gov.au/nla.obj-3135106968/findingaid,UniSA,Collection of books and reports received from the University of South Australia,,1938 - 1998,225 items (225 items),English,Printed Collections,,,,225,225,0,225
http://nla.gov.au/nla.obj-3085971405/findingaid,VGLS,Collection of books and reports received from the Victorian Government Library Service,,1910 - 2013,721 items,English,Printed Collections,,,,721,721,0,1
http://nla.gov.au/nla.obj-325545889/findingaid,MS 6480,Collection of papers of C. J. Dennis and Hal Gye,"Chaplin, Harry F.",1913-1966,2.7 metres (10 boxes + 4 folio boxes),English,National Library of Australia,This finding aid was revised and published with the assistance of the Ray Mathew and Eva Kollsman Trust.,,,187,160,0,1
http://nla.gov.au/nla.obj-3134640343/findingaid,POSTERS FC 169,Collection of posters designed by Mikel Simic and Konrad Lenz.,,1992 - 2014,185 items 185 posters,English,Printed Collections,,,,189,189,0,189
http://nla.gov.au/nla.obj-3119345113/findingaid,POSTERS FC 83,"Collection of posters from various exhibitions held at galleries, libraries and museums in the Australian Capital Territory and overseas.",,1975 - 2015,38 items,English,Printed Collections,,,,38,38,0,38
http://nla.gov.au/nla.obj-3135050214/findingaid,POSTERS FC 105,Collection of posters on political and social issues,,1978 - 2015,60 items 60 posters,English,Printed Collections,,,,60,60,0,60
http://nla.gov.au/nla.obj-1127114046/findingaid,M2804-M2805,"Collections belonging to the Pitt Rivers Museum, Oxford (as filmed by the AJCP)","Collections of the Pitt Rivers Museum, Oxford",1864 - 23 May 1949,82 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,136,114,114,138
http://nla.gov.au/nla.obj-761967998/findingaid,"M713, M866",Collections held by Berkshire Record Office (as filmed by the AJCP),Berkshire Record Office,1751 - 1887,22 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,63,41,41,74
http://nla.gov.au/nla.obj-1126138815/findingaid,M2591-M2595,Collections held by Cambridge University Library (as filmed by the AJCP),Cambridge University Library,1718 - 1986,232 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,396,249,249,462
http://nla.gov.au/nla.obj-762004226/findingaid,M845-M847,Collections held by Cheshire Record Office (as filmed by the AJCP),Cheshire Archives and Local Studies,1802 - 1939,21 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,27,19,19,28
http://nla.gov.au/nla.obj-921072885/findingaid,"M2847- M2849, M2912 - M2923",Collections held by Glasgow Mitchell Library,Mitchell Library (Glasgow),1827 - 1972,62 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,90,62,62,91
http://nla.gov.au/nla.obj-836328123/findingaid,"M1517-1534, M2840-2841",Collections held by Lambeth Palace Library (as filmed by the AJCP),Lambeth Palace Library,1722-1929 (1940-1947),546 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,1487,1238,1238,1502
http://nla.gov.au/nla.obj-1127490781/findingaid,M1898-M1900,Collections held by Leeds District Archives (as filmed by the AJCP),Leeds District Archives,21 August 1821 - 1935,78 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,148,115,115,150
http://nla.gov.au/nla.obj-836328419/findingaid,M2124,Collections held by Leicestershire Record Office (as filmed by the AJCP),Leicestershire Record Office,1836 - 1963,16 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,30,20,20,31
http://nla.gov.au/nla.obj-1126192259/findingaid,M1683,Collections held by Newcastle upon Tyne University Library (as filmed by the AJCP),Newcastle Upon Tyne University Library,6 April 1839 - 14 November 1956,59 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,90,59,59,91
http://nla.gov.au/nla.obj-836339417/findingaid,M2498-M2499,"Collections held by Nuffield College, Oxford (as filmed by the AJCP)","Nuffield College Library, Oxford",1893 - 1965,53 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,115,75,75,116
http://nla.gov.au/nla.obj-1127491598/findingaid,M2519,Collections held by York City Archives (as filmed by the AJCP),York City Archive,1828 - 1983,9 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020. The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,14,9,9,15
http://nla.gov.au/nla.obj-770248972/findingaid,M2398 - M2399,Collections held by the Aberdeen University Library (as filmed by the AJCP),Aberdeen University Library,1800 - 1972,26 items,English,Australian Joint Copying Project,"The Australian Joint Copying Project (AJCP) online portal was created with the assistance of the Australian Public Service Modernisation Fund, 2017-2020.
The National Library of Australia gratefully acknowledges the contribution of the other foundation AJCP partners, the State Library of New South Wales and The National Archives of the UK, and all other organisations which supported the work of the AJCP, the world's most extensive collaborative copying project, operating from 1948 to 1997.",,,75,49,49,80
